txn_id,event_ts,amount,currency,merchant_id,merchant_category,channel,country,customer_id,customer_tenure_days,txns_30d,avg_amount_30d,prior_declines_30d,hour,is_new_device,payment_method,device_fingerprint,ops_review_code,rules_engine_decline,is_fraud
TXN-000135,23/07/2026 18:55,102.88,GHS,M-2010,travel,web,Ghana,C-10069,1338.0,3,46.65,0,4,0,card,DEV-72551,CLR,N,0
TXN-002632,2026-09-08T15:33:00,79.11,USD,M-2080,restaurants,ios,NGA,C-10154,189.0,0,80.89,0,11,0,card,DEV-51570,ESC,N,1
TXN-000888,2026-08-24T23:42:00,25.10,GHS,M-2049,grocery,pos,ng,C-10558,1138.0,16,35.26,0,3,1,card,DEV-10335,CLR,Y,0
TXN-001914,2026-08-14 05:58:00,88.57,USD,M-2003,telecom,ios,gh,C-10456,115.0,20,102.53,0,12,0,momo,DEV-46742,CLR,N,0
TXN-002020,2026-08-12T07:44:00,88.15,GHS,M-2010,travel,android,gh,C-10657,264.0,14,134.51,0,15,0,momo,DEV-98753,CLR,N,0
TXN-000077,2026-07-26 02:11:00,98.51,GHS,M-2068,grocery,android,NGA,C-10469,1575.0,36,83.29,0,1,1,momo,DEV-66902,CLR,Y,0
TXN-003069,2026-08-02 05:59:00,5.56,GHS,M-2047,electronics,pos,GHA,C-10087,1045.0,20,5.78,0,2,0,bank,DEV-81335,CLR,N,0
TXN-002377,2026-09-05T07:05:00,6.92,GHS,M-2076,unk,ios,Ghana,C-10613,1497.0,5,9.05,0,3,1,momo,DEV-61113,CNF,Y,1
TXN-000031,08-31-2026,180.14,NGN,M-2032,electronics,ussd,Ghana,C-10017,169.0,14,204.19,0,19,0,card,DEV-90722,CLR,N,0
TXN-002223,28/08/2026 16:52,$221.34,GHS,M-2064,restaurants,ios,gh,C-10532,818.0,39,253.64,5,9,0,bank,DEV-71895,CLR,Y,0
TXN-001638,2026-09-07T21:55:00,12.66,GHS,M-2022,OTHER,android,GHA,C-10630,1025.0,19,14.9,0,,0,card,DEV-94002,ESC,N,0
TXN-003050,2026-07-29T03:58:00,28.08,NGN,M-2083,GROCERY,android,Kenya,C-10617,749.0,18,40.04,0,9,0,bank,DEV-29068,CNF,N,0
TXN-001367,21/08/2026 06:38,7.58,NGN,M-2080,restaurants,ios,NGA,C-10183,1533.0,30,6.56,0,4,0,momo,DEV-59441,CLR,N,0
TXN-002458,30/07/2026 17:37,11.80,GHS,M-2061,crypto,ussd,ng,C-10059,1627.0,22,12.92,0,,0,momo,DEV-88086,ESC,Y,1
TXN-000153,2026-08-18T06:19:00,24.43,GHS,M-2091, telecom ,ussd,GH,C-10403,734.0,21,19.2,0,12,1,card,DEV-22188,CLR,Y,0
TXN-001602,29/08/2026 12:48,15.37,GHS,M-2044,FUEL,web,Ghana,C-10125,334.0,5,7.1,0,10,0,momo,DEV-31570,CLR,N,0
TXN-000258,22/07/2026 02:56,NA,GHS,M-2006,telecom,ussd,GH,C-10667,,21,48.14,0,15,0,card,DEV-94715,CLR,N,0
TXN-000280,2026-07-20T23:34:00,67.57 GHS,GHS,M-2022, other ,ios,NG,C-10682,556.0,21,33.21,0,10,0,card,DEV-96799,ESC,N,0
TXN-002928,10/09/2026 01:36,13.62,GHS,M-2074, grocery ,ios,gh,C-10449,1715.0,27,12.42,5,10,1,card,DEV-64935,ESC,Y,0
TXN-000411,2026-08-31T10:55:00,8.13,GHS,M-2061,crypto,ios,NGA,C-10290,256.0,7,12.56,4,9,0,momo,DEV-56870,CLR,Y,0
TXN-000486,2026-08-20T09:13:00,28.51,NGN,M-2079,telecom,android,gh,C-10554,1579.0,24,40.8,0,23,1,momo,DEV-57278,CLR,Y,0
TXN-000325,2026-08-24T20:48:00,49.35,GHS,M-2092,Gambling,web,NG,C-10274,282.0,8,45.0,4,19,0,card,DEV-31105,CNF,Y,1
TXN-001887,2026-08-13T02:32:00,13.81,GHS,M-2044,fuel,android,Nigeria,C-10520,515.0,7,11.4,0,8,0,card,DEV-18238,CLR,N,0
TXN-003100,2026-07-31 15:41:00,25.34,GHS,M-2095,,web,gh,C-10143,199.0,18,28.47,3,6,0,momo,DEV-79476,CLR,Y,0
TXN-001289,07/08/2026 20:50,16.50,GHS,M-2087,gambling,ios,ke,C-10457,3.0,21,7.78,6,8,0,card,DEV-67669,CLR,Y,0
TXN-000943,13/08/2026 21:35,208.07,USD,M-2012,restaurants,android,GH,C-10326,7.0,22,98.57,2,14,0,momo,DEV-88022,CLR,Y,0
TXN-002985,24/08/2026 23:55,41.05,GHS,M-2079,telecom,web,NG,C-10342,1165.0,22,61.46,0,7,0,bank,DEV-94915,CLR,N,0
TXN-000766,2026-07-29T11:22:00,63.57,GHS,M-2013,fuel,pos,NGA,C-10236,65.0,29,61.91,0,18,0,momo,DEV-91398,CLR,N,0
TXN-002781,2026-08-29 15:30:00,16.72,GHS,M-2009,gambling,web,GHA,C-10002,1291.0,9,10.16,5,22,0,momo,DEV-44204,CNF,Y,1
TXN-002846,2026-08-05T11:58:00,13.31,GHS,M-2085,Grocery,android,NG,C-10434,1378.0,36,13.79,0,1,0,momo,DEV-53524,CLR,N,0
TXN-000018,19/07/2026 07:03,153.88,GHS,M-2062,restaurants,web,gh,C-10095,841.0,16,143.57,0,7,0,card,DEV-28040,CLR,N,0
TXN-000569,2026-08-16T05:59:00,39.50,GHS,M-2013,FUEL,ussd,GHA,C-10292,1470.0,19,29.24,0,21,0,bank,DEV-88664,CNF,N,1
TXN-000322,2026-07-20T18:32:00,21.97,GHS,M-2021,TRAVEL,web,KE,C-10688,1167.0,7,20.85,7,23,0,momo,DEV-79973,CLR,Y,0
TXN-000204,07-24-2026,57.41,GHS,M-2064,restaurants,web,Ghana,C-10262,264.0,31,26.36,0,4,0,momo,DEV-66761,CLR,N,0
TXN-000622,2026-07-24T15:23:00,$4.90,GHS,M-2049,grocery,web,Ghana,C-10445,975.0,10,4.91,0,15,0,momo,DEV-48261,CLR,N,0
TXN-001133,2026-08-25 03:41:00,24.74,GHS,M-2047,electronics,android,gh,C-10327,505.0,14,27.96,0,8,0,momo,DEV-45942,CLR,N,0
TXN-001988,08-08-2026,11.88,GHS,M-2058,Grocery,android,Nigeria,C-10544,811.0,19,6.57,0,21,0,momo,DEV-13059,CLR,N,0
TXN-002621,06/08/2026 15:31,25.73,GHS,M-2032,electronics,android,Ghana,C-10734,667.0,22,34.65,0,5,0,momo,DEV-53591,CLR,N,0
TXN-000777,2026-08-16 08:34:00,22.06,NGN,M-2048,restaurants,pos,GH,C-10022,288.0,10,27.32,0,10,0,card,DEV-92563,CLR,N,0
TXN-000507,12/08/2026 01:06,,GHS,M-2067,electronics,ussd,GHA,C-10298,1491.0,21,12.94,0,19,0,card,DEV-58973,CLR,N,0
TXN-001629,09-01-2026,115.84,GHS,M-2044, fuel ,ios,Ghana,C-10445,975.0,16,170.52,0,17,1,momo,DEV-25747,CLR,Y,0
TXN-000496,2026-08-08T11:10:00,39.02,GHS,M-2013,fuel,pos,GHA,C-10454,553.0,14,24.94,0,7,1,bank,DEV-16885,CLR,Y,0
TXN-001537,2026-08-16T18:14:00,263.68,GHS,M-2042,telecom,android,gh,C-10252,650.0,19,137.8,5,21,0,card,DEV-59814,CLR,Y,0
TXN-002459,2026-08-16T21:15:00,15.20,GHS,M-2044,fuel,ios,Ghana,C-10736,835.0,7,23.51,4,3,0,momo,DEV-77038,CLR,Y,0
TXN-000140,2026-09-07T16:14:00,11.50,GHS,M-2024,,pos,gh,C-10400,724.0,7,8.22,0,,0,card,DEV-81728,CNF,N,1
TXN-001160,2026-08-01 07:52:00,14.51,GHS,M-2050,,ussd,gh,C-10644,,10,19.79,0,21,1,card,DEV-29792,CLR,Y,0
TXN-000508,27/07/2026 08:26,,GHS,M-2020,telecom,web,GHA,C-10043,1581.0,27,8.0,0,12,0,card,DEV-44257,ESC,N,0
TXN-001546,2026-08-29T09:43:00,272.92,GHS,M-2055,telecom,android,GH,C-10332,,7,403.88,0,9,0,momo,DEV-45681,CLR,N,0
TXN-000033,2026-08-23 00:27:00,106.48,GHS,M-2015,electronics,android,GHA,C-10385,1329.0,36,55.48,1,16,0,bank,DEV-72047,CLR,N,0
TXN-002047,2026-08-30T14:33:00,32.56,GHS,M-2026,GAMBLING,pos,Ghana,C-10655,302.0,3,23.24,2,7,0,card,DEV-18815,ESC,Y,0
TXN-000415,2026-07-22T05:38:00,37.14,GHS,M-2068,grocery,web,ng,C-10556,521.0,5,44.57,0,11,0,bank,DEV-76034,CLR,N,0
TXN-001345,22/07/2026 16:08,56.00,GHS,M-2059,,web,GH,C-10103,235.0,21,76.12,0,14,0,card,DEV-19341,CLR,N,0
TXN-002431,2026-08-05T04:17:00,23.68,GHS,M-2000,telecom,android,ng,C-10512,1140.0,3,28.66,0,23,0,card,DEV-96209,CLR,N,0
TXN-000933,15/08/2026 16:19,193.13,GHS,M-2049,grocery,web,ng,C-10054,1709.0,24,213.89,0,0,0,card,DEV-34353,CLR,N,0
TXN-000257,24/08/2026 05:26,31.23,GHS,M-2070,grocery,android,Kenya,C-10534,4.0,39,21.5,0,3,0,momo,DEV-52278,ESC,N,0
TXN-002357,25/08/2026 18:44,32.08 GHS,GHS,M-2030,,web,ng,C-10405,6.0,0,48.28,0,5,0,bank,DEV-22504,CLR,N,0
TXN-003042,2026-08-25 23:10:00,115.52,NGN,M-2062,Restaurants,web,Kenya,C-10506,1127.0,24,92.41,0,16,0,card,DEV-16718,CLR,N,0
TXN-000103,2026-08-17 16:31:00,29.10,GHS,M-2078,restaurants,web,GH,C-10619,10.0,24,41.89,6,11,0,momo,DEV-23539,CLR,Y,0
TXN-000290,2026-07-21T08:35:00,30.07,GHS,M-2051,GROCERY,ios,NGA,C-10452,1341.0,36,45.37,0,17,0,momo,DEV-32259,CLR,N,0
TXN-002038,2026-07-27T03:45:00,101.79,GHS,M-2005,OTHER,pos,GHA,C-10296,1510.0,11,79.33,2,18,0,momo,DEV-42195,CLR,Y,0
TXN-000696,27/08/2026 11:38,233.49,NGN,M-2003,telecom,web,Ghana,C-10373,1785.0,14,189.46,0,4,0,momo,DEV-68593,CLR,N,0
TXN-002581,2026-08-02T01:23:00,52.53,NGN,M-2093,travel,web,GH,C-10060,1259.0,18,33.54,0,6,0,momo,DEV-53750,CNF,N,0
TXN-000431,2026-08-02T04:19:00,14.94,GHS,M-2031,other,web,GHA,C-10564,448.0,22,16.29,0,7,0,momo,DEV-57001,CLR,N,0
TXN-001229,2026-07-21T06:46:00,5.49,GHS,M-2028,,ios,GHA,C-10670,982.0,11,8.16,0,12,0,momo,DEV-97550,CLR,N,0
TXN-000680,2026-08-25T04:07:00, 13.89 ,NGN,M-2060,restaurants,web,NG,C-10728,11.0,35,17.54,0,5,0,card,DEV-25998,CLR,N,0
TXN-000193,07-29-2026,37,USD,M-2059,grocery,web,gh,C-10161,129.0,29,20.56,0,1,1,card,DEV-52953,CLR,Y,0
TXN-003061,2026-08-06 07:33:00,56.18,NGN,M-2086,telecom,pos,gh,C-10459,1757.0,25,51.38,2,3,0,card,DEV-23588,CLR,Y,0
TXN-001045,2026-08-15T22:29:00,22.10,GHS,M-2000,telecom,pos,Nigeria,C-10732,,36,19.04,0,7,0,card,DEV-88646,CLR,N,0
TXN-000556,01/09/2026 15:46,191.12,GHS,M-2078,Restaurants,ios,NGA,C-10268,295.0,16,282.47,0,22,0,momo,DEV-71813,ESC,N,0
TXN-001799,2026-08-19T11:19:00,60.90,NGN,M-2027,grocery,ios,Ghana,C-10397,,10,49.95,0,13,0,card,DEV-37628,CLR,N,0
TXN-002874,2026-08-26T02:00:00, 30.01 ,GHS,M-2070,grocery,ios,gh,C-10410,584.0,6,40.78,0,23,0,momo,DEV-43056,CLR,N,0
TXN-000310,01/08/2026 04:53,18.24,GHS,M-2086,TELECOM,web,ng,C-10337,1138.0,16,25.32,0,4,0,card,DEV-11038,CLR,N,0
TXN-000094,26/07/2026 03:05,26.22,NGN,M-2092,gambling,ios,GH,C-10403,734.0,14,26.01,0,16,0,momo,DEV-24507,CLR,Y,0
TXN-001622,03/09/2026 10:30,15.72,NGN,M-2071,travel,android,Ghana,C-10098,,37,21.98,0,1,0,momo,DEV-94823,CLR,N,0
TXN-002204,2026-08-15T05:39:00,20.97,GHS,M-2066,restaurants,web,ke,C-10004,269.0,27,28.87,0,9,0,card,DEV-16649,CLR,N,0
TXN-002031,2026-08-12T08:52:00,54.68,GHS,M-2056,gambling,android,NGA,C-10588,,25,36.38,0,1,0,momo,DEV-59346,CLR,Y,0
TXN-002348,2026-08-19T21:13:00,13.66,GHS,M-2032,electronics,ios,NG,C-10519,737.0,15,20.47,2,16,0,card,DEV-75827,CLR,Y,0
TXN-000255,2026-07-24T12:59:00,27.35,GHS,M-2017,grocery,web,GHA,C-10169,,27,39.77,0,8,0,card,DEV-62627,CLR,N,0
TXN-000171,05/08/2026 00:45,42.04,GHS,M-2013,fuel,web,ke,C-10289,1779.0,14,51.54,0,18,0,card,DEV-65684,CLR,N,0
TXN-003047,27/07/2026 21:26,,USD,M-2093,,pos,ke,C-10077,1294.0,30,11.39,0,13,0,card,DEV-10429,CLR,N,0
TXN-001092,2026-07-23T09:21:00,102.68,NGN,M-2020,,android,Ghana,C-10390,269.0,15,131.68,0,1,0,card,DEV-43831,CLR,N,0
TXN-003018,2026-09-06T10:34:00,24.98,NGN,M-2070,GROCERY,ussd,gh,C-10532,818.0,16,33.32,0,21,0,bank,DEV-17419,CLR,N,0
TXN-003130,2026-09-08T03:40:00,39.51,NGN,M-2044,fuel,pos,GHA,C-10493,1662.0,10,58.08,0,22,0,momo,DEV-84406,CLR,N,0
TXN-001504,23/07/2026 11:54,11.07,GHS,M-2059,grocery,android,GHA,C-10041,2.0,35,5.31,0,,0,card,DEV-67717,CLR,N,0
TXN-000806,2026-08-27T05:18:00,,GHS,M-2018,fuel,ios,GH,C-10251,782.0,4,21.99,2,10,0,momo,DEV-83949,CLR,Y,0
TXN-000443,2026-08-25T03:44:00,12.44,GHS,M-2092,Gambling,web,GH,C-10454,553.0,34,8.86,0,4,1,card,DEV-19035,ESC,Y,0
TXN-001972,2026-07-21T04:11:00,3.00,GHS,M-2023,fuel,web,KE,C-10245,883.0,12,1.91,0,13,0,momo,DEV-50475,CLR,N,0
TXN-002482,2026-09-07T08:55:00,16.66,USD,M-2074,grocery,android,Ghana,C-10212,10.0,1,9.89,3,6,0,momo,DEV-54825,CLR,Y,0
TXN-002355,2026-08-29 06:25:00,89.62,GHS,M-2083,,web,Ghana,C-10167,995.0,1,48.87,7,19,1,momo,DEV-10936,CNF,Y,0
TXN-003045,2026-09-07T06:37:00,,GHS,M-2031,other,android,GHA,C-10235,290.0,39,6.91,0,2,0,momo,DEV-92919,CLR,N,0
TXN-000230,2026-08-03T05:51:00,12.39,GHS,M-2083,,ios,Nigeria,C-10083,574.0,34,17.99,0,,0,momo,DEV-86425,CLR,N,0
TXN-001475,05/08/2026 18:52,,USD,M-2054,unk,web,GHA,C-10137,11.0,9,55.8,0,7,0,momo,DEV-19073,CLR,N,0
TXN-002571,08-17-2026,24.96,GHS,M-2083,grocery,ios,GH,C-10312,1147.0,16,27.31,5,5,0,momo,DEV-29222,CLR,Y,0
TXN-001607,11/09/2026 17:31,34.68,GHS,M-2049,GROCERY,android,GHA,C-10596,212.0,16,38.37,0,4,0,momo,DEV-33293,CLR,N,0
TXN-002793,2026-07-26 00:29:00,37.75,NGN,M-2001, gambling ,ios,GHA,C-10134,15.0,1,45.69,0,8,0,momo,DEV-12905,CLR,Y,0
TXN-001612,2026-08-30T09:50:00,47.39,GHS,M-2019,restaurants,android,GHA,C-10364,,28,61.96,0,21,0,card,DEV-78452,CLR,N,0
TXN-002491,2026-08-23 04:15:00,3.26,GHS,M-2077,restaurants,web,Nigeria,C-10329,111.0,21,1.84,0,11,1,momo,DEV-73333,ESC,Y,0
TXN-001973,2026-07-26T19:45:00,14.54,USD,M-2051,grocery,ios,ng,C-10154,189.0,22,18.88,3,6,0,momo,DEV-21471,CLR,Y,0
TXN-000845,24/07/2026 01:49,57,GHS,M-2056, gambling ,ios,GHA,C-10156,1105.0,30,28.1,1,15,0,card,DEV-81628,CLR,Y,0
TXN-002980,2026-08-12T06:10:00,19.54,NGN,M-2092,GAMBLING,web,gh,C-10095,,6,15.67,0,16,1,card,DEV-13659,CLR,Y,0
TXN-000347,08-07-2026,38.09,USD,M-2063,TELECOM,ios,NG,C-10552,721.0,26,31.25,0,11,0,card,DEV-16939,CLR,N,0
TXN-000412,07/09/2026 13:24,24.59,GHS,M-2003,telecom,web,gh,C-10532,818.0,23,34.32,0,5,1,momo,DEV-35365,CLR,Y,0
TXN-000264,2026-07-18T16:14:00,21.90,GHS,M-2006,,ussd,GHA,C-10608,1373.0,4,13.58,0,7,0,momo,DEV-63262,CLR,N,0
TXN-000818,2026-08-14T13:03:00,23.27,GHS,M-2031,other,android,gh,C-10091,1083.0,17,14.13,0,21,0,card,DEV-33984,CLR,N,0
TXN-000808,2026-07-19 02:45:00,71.04 GHS,GHS,M-2067,electronics,ios,GHA,C-10327,505.0,3,82.25,2,17,0,momo,DEV-16635,CLR,Y,0
TXN-001666,08-20-2026,,GHS,M-2063,,android,Ghana,C-10036,438.0,29,22.77,0,8,0,momo,DEV-87001,CLR,N,0
TXN-002786,08/08/2026 15:08,31.78,GHS,M-2084,GROCERY,pos,NGA,C-10025,268.0,31,20.05,0,8,1,bank,DEV-95609,CLR,Y,0
TXN-003111,2026-07-30T22:39:00,18.34,NGN,M-2034,Gambling,web,KE,C-10065,6.0,33,23.03,0,7,0,momo,DEV-20069,CLR,Y,0
TXN-001346,06/08/2026 07:19,40.79,GHS,M-2001,gambling,web,Nigeria,C-10155,,31,59.04,0,20,0,card,DEV-31984,CLR,Y,0
TXN-002712,2026-08-27T05:03:00,11.18,GHS,M-2019,restaurants,ussd,NGA,C-10592,190.0,16,14.57,0,21,0,momo,DEV-99421,CLR,N,0
TXN-002044,01/08/2026 05:27,,GHS,M-2012,RESTAURANTS,android,Ghana,C-10215,744.0,36,2.07,0,,0,momo,DEV-49763,CLR,N,0
TXN-001272,2026-08-11T14:51:00,36.84,GHS,M-2013,fuel,ios,Ghana,C-10538,1259.0,17,26.51,0,,0,momo,DEV-44300,CLR,N,0
TXN-003048,2026-08-18T08:12:00,115.26,NGN,M-2063,Telecom,ios,Ghana,C-10307,1430.0,35,122.61,5,15,0,card,DEV-35655,CLR,Y,0
TXN-000174,2026-08-11T13:47:00,88.75,GHS,M-2081,travel,android,NGA,C-10535,1510.0,0,51.37,0,20,1,bank,DEV-20116,CNF,Y,0
TXN-000841,22/07/2026 15:51,12.61,GHS,M-2030,telecom,ios,KE,C-10245,883.0,32,9.01,0,11,0,card,DEV-93403,CLR,N,0
TXN-002330,2026-08-10T12:46:00,3782.44,GHS,M-2064, restaurants ,ios,GHA,C-10625,884.0,31,4044.58,0,18,0,momo,DEV-57105,ESC,Y,0
TXN-002710,21/07/2026 13:05,35.44,NGN,M-2039,,android,NG,C-10132,230.0,23,33.32,0,14,1,momo,DEV-51207,CLR,Y,0
TXN-001430,2026-08-08T05:24:00,NA,NGN,M-2083,,android,gh,C-10002,1291.0,14,11.85,0,,0,card,DEV-65250,CLR,N,0
TXN-000300,2026-08-22T02:30:00,36.80,NGN,M-2037,crypto,ussd,Nigeria,C-10530,70.0,7,55.04,0,15,1,card,DEV-11638,CLR,Y,0
TXN-002567,2026-07-28T15:11:00,18.15,NGN,M-2014,gambling,android,Ghana,C-10689,1352.0,0,25.85,2,23,0,card,DEV-95923,CLR,Y,0
TXN-002243,26/08/2026 08:28,21.57,GHS,M-2067,electronics,web,Kenya,C-10502,419.0,32,29.87,0,22,1,momo,DEV-52292,CLR,Y,0
TXN-002085,2026-09-04T23:55:00,82.01,GHS,M-2055,telecom,pos,ng,C-10111,1718.0,22,60.66,0,6,0,card,DEV-24585,CLR,N,0
TXN-000326,2026-08-05T22:06:00, 19.47 ,GHS,M-2067,Electronics,android,ng,C-10443,,39,10.67,3,8,1,card,DEV-87499,CNF,Y,1
TXN-000860,2026-07-21T17:39:00,13.40,NGN,M-2000,telecom,ios,ng,C-10543,,19,13.7,3,1,0,momo,DEV-26500,CLR,Y,0
TXN-001766,2026-08-24T01:23:00,11.56,GHS,M-2053,restaurants,ios,gh,C-10227,610.0,12,12.19,0,6,0,momo,DEV-15826,CLR,N,0
TXN-000901,2026-08-26T08:58:00,24,NGN,M-2013,fuel,ussd,gh,C-10566,857.0,30,35.14,0,16,0,bank,DEV-40814,CLR,N,0
TXN-002422,2026-07-22T16:05:00,20.96,GHS,M-2047,electronics,android,gh,C-10179,455.0,0,30.48,0,5,0,card,DEV-25079,CLR,N,0
TXN-002255,2026-08-22T13:50:00, 21.78 ,GHS,M-2066,RESTAURANTS,android,GH,C-10439,1214.0,24,24.33,0,17,0,momo,DEV-68074,CLR,N,0
TXN-002251,2026-09-05 21:06:00,24.38,USD,M-2075,electronics,android,ng,C-10543,,6,28.28,0,11,1,card,DEV-22895,CLR,Y,0
TXN-002408,2026-08-15T18:29:00,$8.71,GHS,M-2049,,ios,NG,C-10101,709.0,0,4.81,0,11,0,card,DEV-10497,CLR,N,0
TXN-001442,2026-08-27T18:59:00,5.22,NGN,M-2087,Gambling,ussd,Ghana,C-10729,1019.0,8,4.04,0,3,0,card,DEV-95113,CNF,Y,1
TXN-001843,2026-09-07T07:37:00,51.11,GHS,M-2002,fuel,ios,GHA,C-10730,1342.0,10,45.1,0,2,0,momo,DEV-46027,CLR,N,0
TXN-002081,08-03-2026,29.87,GHS,M-2008,Grocery,web,ke,C-10627,1607.0,3,41.65,0,2,0,bank,DEV-24420,CLR,N,0
TXN-002015,11/08/2026 22:02,30.00,GHS,M-2008,grocery,android,Nigeria,C-10618,710.0,8,31.32,0,23,0,momo,DEV-11829,CLR,N,0
TXN-000195,2026-08-20T18:36:00,27.23,USD,M-2000,telecom,ios,GHA,C-10381,6.0,39,40.79,0,6,1,card,DEV-33133,CLR,Y,0
TXN-001024,14/08/2026 20:40,19.07,GHS,M-2061,crypto,pos,gh,C-10698,79.0,30,9.64,0,3,0,card,DEV-44613,CLR,Y,0
TXN-000240,2026-08-10T02:26:00,15.10,GHS,M-2022,other,android,Ghana,C-10240,,19,20.43,0,17,0,card,DEV-74657,CLR,N,0
TXN-000185,03/09/2026 02:40,12.42,GHS,M-2024,telecom,android,Ghana,C-10026,647.0,2,9.98,0,17,0,card,DEV-47124,ESC,N,0
TXN-000015,30/07/2026 23:04,42.25,USD,M-2076,electronics,ios,Nigeria,C-10273,214.0,21,46.84,0,22,0,bank,DEV-98776,CLR,N,0
TXN-000299,07/08/2026 07:52,2888.78,GHS,M-2088,grocery,web,Ghana,C-10351,1079.0,29,3219.24,0,12,0,momo,DEV-95986,CLR,Y,0
TXN-001823,2026-08-17T06:33:00,36.39,NGN,M-2026,gambling,web,ke,C-10571,5.0,2,36.08,0,2,0,momo,DEV-68031,CLR,Y,0
TXN-002636,2026-07-21T17:45:00,23.85,GHS,M-2048,restaurants,web,GHA,C-10397,,34,33.08,0,,0,momo,DEV-30746,CLR,N,0
TXN-002058,2026-08-09T20:09:00,$97.60,NGN,M-2006, telecom ,web,GH,C-10258,,14,47.84,0,12,0,card,DEV-26237,CLR,N,0
TXN-000045,09/08/2026 15:54,,GHS,M-2009,gambling,ios,KE,C-10457,,17,22.47,0,15,0,bank,DEV-43093,CLR,Y,0
TXN-003081,19/08/2026 19:38,37.00,GHS,M-2044,FUEL,ios,NG,C-10119,1585.0,19,28.82,1,1,0,card,DEV-90776,CLR,N,0
TXN-000433,2026-08-29T10:42:00,13.98,USD,M-2006,telecom,ussd,KE,C-10688,1167.0,18,20.6,0,19,1,momo,DEV-90206,CLR,Y,0
TXN-002109,2026-07-25 10:58:00,29.95,GHS,M-2022,other,android,GH,C-10440,1645.0,13,32.72,4,9,0,card,DEV-68568,CLR,Y,0
TXN-000706,2026-08-07T10:19:00,20.57,GHS,M-2052, telecom ,android,Ghana,C-10572,1279.0,21,15.92,0,7,0,momo,DEV-88117,CLR,N,0
TXN-002549,2026-08-08T23:12:00,77.40,USD,M-2054,Telecom,android,KE,C-10200,1086.0,7,100.95,0,5,0,card,DEV-35817,CLR,N,0
TXN-002652,2026-08-23T10:08:00,12.39,GHS,M-2030,telecom,android,ke,C-10289,1779.0,14,18.69,3,22,1,momo,DEV-28713,CLR,Y,0
TXN-003044,2026-08-03T12:15:00,13.69,USD,M-2034,,android,gh,C-10158,638.0,32,9.63,0,17,0,bank,DEV-26314,CLR,Y,1
TXN-001386,2026-07-24T16:27:00,24.51,GHS,M-2074,grocery,ussd,gh,C-10632,4.0,11,31.61,0,17,0,card,DEV-44809,CLR,N,0
TXN-002403,2026-07-29T07:35:00,30.05,GHS,M-2050,,ios,ke,C-10323,4.0,33,33.37,0,22,0,card,DEV-51418,CLR,N,0
TXN-001254,22/08/2026 02:17,53.29 GHS,GHS,M-2001,Gambling,ios,Ghana,C-10135,866.0,31,72.0,0,20,0,momo,DEV-99263,CLR,Y,0
TXN-000683,25/07/2026 04:01,60.04,GHS,M-2003,,web,NGA,C-10607,1210.0,25,54.34,6,2,0,bank,DEV-70655,CLR,Y,0
